epoch,accuracy,loss,val_accuracy,val_loss
0,0.4869791567325592,1.565619945526123,0.6640625,1.1652584075927734
1,0.765625,0.8152691125869751,0.7578125,0.7758596539497375
2,0.8454861044883728,0.5854337215423584,0.8203125,0.652509331703186
3,0.9036458134651184,0.406540185213089,0.90625,0.4105590581893921
4,0.9427083134651184,0.30251291394233704,0.90625,0.4114387035369873
5,0.9557291865348816,0.24393776059150696,0.953125,0.3296840488910675
6,0.9635416865348816,0.22315925359725952,0.921875,0.3629959523677826
7,0.9756944179534912,0.19452661275863647,0.90625,0.42707276344299316
8,0.984375,0.16043438017368317,0.96875,0.3028222322463989
9,0.9852430820465088,0.14768995344638824,0.9140625,0.29203349351882935
10,0.9869791865348816,0.13405323028564453,0.921875,0.32170236110687256
11,0.9817708134651184,0.14644889533519745,0.921875,0.33298447728157043
12,0.9904513955116272,0.11693540960550308,0.9453125,0.28289878368377686
13,0.9913194179534912,0.10021227598190308,0.953125,0.26151585578918457
14,0.9956597089767456,0.08527224510908127,0.9453125,0.31269729137420654
15,0.9878472089767456,0.11375042051076889,0.9375,0.26838189363479614
16,0.9904513955116272,0.09921791404485703,0.9453125,0.2582564353942871
17,0.9991319179534912,0.0699194148182869,0.96875,0.2298625111579895
18,1.0,0.06223882734775543,0.953125,0.20888826251029968
19,1.0,0.05566287040710449,0.9609375,0.2122265249490738
20,1.0,0.051864735782146454,0.953125,0.20450840890407562
21,1.0,0.04952919855713844,0.953125,0.19880634546279907
22,1.0,0.04736589267849922,0.953125,0.21077336370944977
23,1.0,0.04537222161889076,0.953125,0.20607587695121765
24,1.0,0.04254801571369171,0.953125,0.20251844823360443
25,1.0,0.041000474244356155,0.953125,0.20206473767757416
26,1.0,0.03887361288070679,0.953125,0.20099391043186188
27,1.0,0.037745051085948944,0.953125,0.19213414192199707
28,1.0,0.03663932532072067,0.953125,0.18298247456550598
29,1.0,0.03475309535861015,0.953125,0.20501203835010529
